epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1678,1.52126,2.79104,1.5257,0.33144,0.4122,0.33075,0.15847,1.66809,2.08645,2.0876,0.000548543,0.000548543,0.000548543
2,94.9734,1.60257,1.80537,1.55776,0.43615,0.37203,0.34218,0.14267,2.31728,2.78436,2.75529,0.00109328,0.00109328,0.00109328
3,126.522,1.60277,1.80523,1.55283,0.47722,0.54227,0.49472,0.2288,2.09086,6.40991,2.30022,0.00162701,0.00162701,0.00162701
4,158.586,1.61177,1.76482,1.57063,0.4333,0.49133,0.4356,0.19145,2.22212,3.91084,2.52662,0.00161749,0.00161749,0.00161749
5,189.537,1.60532,1.68405,1.55915,0.71677,0.57536,0.68757,0.3786,1.87699,1.87007,2.10009,0.00160099,0.00160099,0.00160099
6,223.086,1.57591,1.72352,1.5144,0.6645,0.60268,0.65678,0.33357,1.91677,2.0481,1.98533,0.00158448,0.00158448,0.00158448
7,255,1.50555,1.57255,1.49559,0.6091,0.66011,0.69917,0.35723,1.77361,1.81611,1.88989,0.00156798,0.00156798,0.00156798
8,287,1.52131,1.54317,1.50831,0.69956,0.70524,0.72538,0.37804,1.67028,1.89461,1.77348,0.00155148,0.00155148,0.00155148
9,318.742,1.46109,1.48974,1.46299,0.80436,0.76549,0.8383,0.48265,1.66763,1.41014,1.84283,0.00153497,0.00153497,0.00153497
10,351.612,1.48484,1.43508,1.47146,0.7805,0.76882,0.81101,0.47458,1.5458,1.51828,1.70803,0.00151847,0.00151847,0.00151847
11,383.763,1.47101,1.42077,1.45818,0.83196,0.74182,0.82391,0.44431,1.72623,1.4475,1.95453,0.00150197,0.00150197,0.00150197
12,415.045,1.42332,1.39075,1.42293,0.83751,0.78887,0.87518,0.50666,1.50303,1.3837,1.70128,0.00148546,0.00148546,0.00148546
13,447.924,1.41226,1.37695,1.42888,0.80727,0.80892,0.83285,0.44855,1.49248,1.42734,1.69688,0.00146896,0.00146896,0.00146896
14,479.165,1.42361,1.3697,1.41868,0.84715,0.81165,0.85912,0.47752,1.70203,1.31857,1.88785,0.00145246,0.00145246,0.00145246
15,511.113,1.37419,1.30986,1.39043,0.78694,0.79051,0.83184,0.47711,1.70899,1.3297,1.76419,0.00143595,0.00143595,0.00143595
16,543.423,1.3719,1.27516,1.39421,0.86015,0.80734,0.87267,0.51875,1.38186,1.23738,1.55755,0.00141945,0.00141945,0.00141945
17,576.914,1.40154,1.29693,1.40389,0.85574,0.80365,0.85635,0.52717,1.52265,1.41487,1.62962,0.00140295,0.00140295,0.00140295
18,610.015,1.38251,1.23794,1.39834,0.83935,0.8454,0.89143,0.54656,1.627,1.12252,1.8193,0.00138644,0.00138644,0.00138644
19,643.344,1.33851,1.19679,1.38568,0.77612,0.88907,0.89954,0.52655,1.47673,1.13245,1.66371,0.00136994,0.00136994,0.00136994
20,674.418,1.32502,1.19487,1.37839,0.85531,0.8347,0.90873,0.55546,1.51456,1.13662,1.66699,0.00135344,0.00135344,0.00135344
21,707.039,1.32949,1.19554,1.37623,0.88495,0.86774,0.90849,0.55249,1.44725,1.12092,1.63918,0.00133693,0.00133693,0.00133693
22,738.705,1.31258,1.16573,1.371,0.82877,0.87351,0.87809,0.50602,1.58321,1.16388,1.77366,0.00132043,0.00132043,0.00132043
23,770.567,1.28902,1.13443,1.34619,0.92543,0.86867,0.9002,0.54067,1.52692,1.01551,1.7261,0.00130393,0.00130393,0.00130393
24,802.152,1.31467,1.12904,1.34064,0.84588,0.87271,0.91509,0.56973,1.49595,1.02438,1.70067,0.00128742,0.00128742,0.00128742
25,835.075,1.28895,1.10351,1.34847,0.85543,0.86482,0.90127,0.5499,1.43327,1.04252,1.60361,0.00127092,0.00127092,0.00127092
26,866.025,1.27576,1.10278,1.34198,0.85212,0.77858,0.89701,0.5246,1.45529,1.13319,1.64394,0.00125442,0.00125442,0.00125442
27,896.91,1.26669,1.06651,1.33716,0.91433,0.8433,0.90405,0.53919,1.56601,1.02687,1.747,0.00123791,0.00123791,0.00123791
28,928.227,1.235,1.03675,1.30317,0.89727,0.87549,0.9046,0.55445,1.41877,1.01193,1.60718,0.00122141,0.00122141,0.00122141
29,959.94,1.24081,1.0395,1.31742,0.95295,0.88278,0.93217,0.55588,1.43289,0.93879,1.59737,0.00120491,0.00120491,0.00120491
30,991.387,1.24214,0.98979,1.31664,0.90115,0.86586,0.91387,0.5723,1.37404,0.95968,1.58321,0.0011884,0.0011884,0.0011884
31,1024.13,1.22957,0.97772,1.29779,0.84782,0.9048,0.9193,0.56327,1.38247,0.96947,1.57748,0.0011719,0.0011719,0.0011719
32,1054.94,1.20726,0.95834,1.2801,0.9098,0.89402,0.93863,0.6024,1.38888,0.90398,1.58341,0.0011554,0.0011554,0.0011554
33,1087.06,1.18428,0.9521,1.28568,0.87144,0.78261,0.84748,0.54468,1.42531,0.97724,1.59222,0.00113889,0.00113889,0.00113889
34,1117.55,1.1849,0.94832,1.27346,0.90613,0.8694,0.92546,0.59156,1.28419,0.92002,1.4932,0.00112239,0.00112239,0.00112239
35,1147.9,1.16959,0.92823,1.27625,0.89594,0.90723,0.90238,0.56473,1.37956,0.96283,1.61627,0.00110589,0.00110589,0.00110589
36,1179.29,1.16994,0.94219,1.2786,0.8769,0.91024,0.92622,0.61903,1.3716,0.88713,1.56481,0.00108938,0.00108938,0.00108938
37,1212.06,1.16176,0.90477,1.25655,0.88904,0.87499,0.9197,0.59398,1.30926,0.94416,1.53458,0.00107288,0.00107288,0.00107288
38,1244.15,1.13357,0.92705,1.24676,0.84546,0.88237,0.92915,0.57916,1.4383,0.95386,1.6479,0.00105638,0.00105638,0.00105638
39,1275.32,1.12299,0.91415,1.23806,0.94979,0.82382,0.92228,0.58433,1.32433,0.84698,1.54229,0.00103987,0.00103987,0.00103987
40,1306.9,1.13087,0.86389,1.25389,0.86246,0.90362,0.91578,0.57665,1.33669,0.90876,1.55424,0.00102337,0.00102337,0.00102337
41,1337.76,1.11984,0.87223,1.24753,0.89846,0.90305,0.93345,0.61431,1.2676,0.82198,1.51648,0.00100687,0.00100687,0.00100687
42,1369.44,1.10985,0.88166,1.2432,0.90945,0.89092,0.93906,0.61338,1.31221,0.83139,1.53674,0.000990365,0.000990365,0.000990365
43,1400.79,1.08472,0.84868,1.23348,0.88436,0.87622,0.92541,0.60034,1.26678,0.9255,1.4826,0.000973861,0.000973861,0.000973861
44,1431.67,1.08647,0.82878,1.22148,0.95708,0.86171,0.94612,0.63296,1.23351,0.79862,1.45737,0.000957358,0.000957358,0.000957358
45,1464.3,1.05208,0.81922,1.19806,0.89638,0.87944,0.923,0.60525,1.2379,0.85736,1.48765,0.000940855,0.000940855,0.000940855
46,1495.83,1.07606,0.82603,1.22939,0.87747,0.88653,0.92578,0.58986,1.22162,0.82765,1.47713,0.000924352,0.000924352,0.000924352
